[R1] pos=(1522,1274) state=leader leader=1 trust=1.00 susp=0.00 cov=9.9%/51.0%
[BAD_LEADER] Sending 5 robots to EXPLORED cells: [(187.5, 62.5), (187.5, 687.5), (1562.5, 437.5)]...
[BAD_LEADER] Sending 5 robots to EXPLORED cells: [(1437.5, 562.5), (1812.5, 812.5), (187.5, 687.5)]...
[BAD_LEADER] Sending 5 robots to EXPLORED cells: [(312.5, 937.5), (1562.5, 812.5), (187.5, 312.5)]...
[BAD_LEADER] Sending 5 robots to EXPLORED cells: [(1437.5, 687.5), (812.5, 562.5), (562.5, 812.5)]...
[BAD_LEADER] Sending 5 robots to EXPLORED cells: [(1812.5, 812.5), (1062.5, 1312.5), (1437.5, 812.5)]...
[BAD_LEADER] Sending 5 robots to EXPLORED cells: [(687.5, 1187.5), (937.5, 1062.5), (1937.5, 812.5)]...
[BAD_LEADER] Sending 5 robots to EXPLORED cells: [(1437.5, 1312.5), (1812.5, 937.5), (1437.5, 687.5)]...
[BAD_LEADER] Sending 5 robots to EXPLORED cells: [(62.5, 437.5), (1937.5, 687.5), (187.5, 187.5)]...
[BAD_LEADER] Sending 5 robots to EXPLORED cells: [(437.5, 1062.5), (1937.5, 687.5), (1562.5, 437.5)]...
[BAD_LEADER] Sending 5 robots to EXPLORED cells: [(1062.5, 1437.5), (62.5, 562.5), (1562.5, 1062.5)]...
[R1] pos=(1522,1274) state=leader leader=1 trust=1.00 susp=0.00 cov=9.9%/51.0%
[BAD_LEADER] Sending 5 robots to EXPLORED cells: [(312.5, 1062.5), (187.5, 1062.5), (1312.5, 937.5)]...
[BAD_LEADER] Sending 5 robots to EXPLORED cells: [(1812.5, 1312.5), (812.5, 812.5), (62.5, 562.5)]...
[BAD_LEADER] Sending 5 robots to EXPLORED cells: [(1687.5, 1062.5), (187.5, 312.5), (62.5, 937.5)]...
[BAD_LEADER] Sending 5 robots to EXPLORED cells: [(187.5, 62.5), (937.5, 1312.5), (1812.5, 687.5)]...
[BAD_LEADER] Sending 5 robots to EXPLORED cells: [(937.5, 687.5), (812.5, 1437.5), (437.5, 937.5)]...
[BAD_LEADER] Sending 5 robots to EXPLORED cells: [(187.5, 62.5), (187.5, 937.5), (1062.5, 1312.5)]...
[BAD_LEADER] Sending 5 robots to EXPLORED cells: [(1562.5, 1312.5), (1937.5, 937.5), (1437.5, 1437.5)]...
[BAD_LEADER] Sending 5 robots to EXPLORED cells: [(1312.5, 1062.5), (312.5, 62.5), (1437.5, 437.5)]...
[BAD_LEADER] Sending 5 robots to EXPLORED cells: [(187.5, 937.5), (1687.5, 1062.5), (1437.5, 687.5)]...
[R1] pos=(1522,1274) state=leader leader=1 trust=1.00 susp=0.00 cov=9.9%/51.0%
[BAD_LEADER] Sending 5 robots to EXPLORED cells: [(1812.5, 1437.5), (62.5, 62.5), (1687.5, 1312.5)]...
[BAD_LEADER] Sending 5 robots to EXPLORED cells: [(937.5, 1437.5), (1937.5, 937.5), (562.5, 1312.5)]...
[BAD_LEADER] Sending 5 robots to EXPLORED cells: [(62.5, 812.5), (812.5, 812.5), (1812.5, 1187.5)]...
[BAD_LEADER] Sending 5 robots to EXPLORED cells: [(1812.5, 687.5), (1937.5, 812.5), (1562.5, 687.5)]...
[BAD_LEADER] Sending 5 robots to EXPLORED cells: [(62.5, 812.5), (62.5, 937.5), (187.5, 812.5)]...
[BAD_LEADER] Sending 5 robots to EXPLORED cells: [(562.5, 687.5), (1687.5, 1312.5), (1937.5, 1312.5)]...
[BAD_LEADER] Sending 5 robots to EXPLORED cells: [(1687.5, 1312.5), (1187.5, 1312.5), (1812.5, 1062.5)]...
[BAD_LEADER] Sending 5 robots to EXPLORED cells: [(937.5, 937.5), (1437.5, 437.5), (1437.5, 812.5)]...
[BAD_LEADER] Sending 5 robots to EXPLORED cells: [(1937.5, 687.5), (1937.5, 1187.5), (1812.5, 1062.5)]...
[BAD_LEADER] Sending 5 robots to EXPLORED cells: [(1437.5, 1312.5), (312.5, 62.5), (1437.5, 812.5)]...
[R1] pos=(1522,1274) state=leader leader=1 trust=1.00 susp=0.00 cov=9.9%/51.0%
[BAD_LEADER] Sending 5 robots to EXPLORED cells: [(1562.5, 812.5), (62.5, 687.5), (1937.5, 1062.5)]...
[BAD_LEADER] Sending 5 robots to EXPLORED cells: [(1437.5, 1062.5), (1812.5, 812.5), (937.5, 812.5)]...
[BAD_LEADER] Sending 5 robots to EXPLORED cells: [(62.5, 187.5), (687.5, 1187.5), (812.5, 687.5)]...
[BAD_LEADER] Sending 5 robots to EXPLORED cells: [(1312.5, 1062.5), (1937.5, 687.5), (562.5, 812.5)]...
[BAD_LEADER] Sending 5 robots to EXPLORED cells: [(562.5, 687.5), (1812.5, 1062.5), (1437.5, 437.5)]...
[BAD_LEADER] Sending 5 robots to EXPLORED cells: [(1812.5, 1312.5), (62.5, 437.5), (312.5, 62.5)]...
[BAD_LEADER] Sending 5 robots to EXPLORED cells: [(937.5, 1437.5), (812.5, 562.5), (1562.5, 437.5)]...
[BAD_LEADER] Sending 5 robots to EXPLORED cells: [(812.5, 1062.5), (1437.5, 1187.5), (1437.5, 812.5)]...
[BAD_LEADER] Sending 5 robots to EXPLORED cells: [(62.5, 937.5), (312.5, 1062.5), (1437.5, 1437.5)]...
[BAD_LEADER] Sending 5 robots to EXPLORED cells: [(1937.5, 687.5), (1937.5, 1187.5), (187.5, 562.5)]...
[R1] pos=(1522,1274) state=leader leader=1 trust=1.00 susp=0.00 cov=9.9%/51.0%
[BAD_LEADER] Sending 5 robots to EXPLORED cells: [(812.5, 1062.5), (812.5, 562.5), (812.5, 687.5)]...
[BAD_LEADER] Sending 5 robots to EXPLORED cells: [(1437.5, 437.5), (687.5, 812.5), (562.5, 1312.5)]...
[BAD_LEADER] Sending 5 robots to EXPLORED cells: [(1937.5, 1187.5), (687.5, 1062.5), (687.5, 937.5)]...
[BAD_LEADER] Sending 5 robots to EXPLORED cells: [(1687.5, 1312.5), (1562.5, 1437.5), (1437.5, 1187.5)]...
[BAD_LEADER] Sending 5 robots to EXPLORED cells: [(1562.5, 312.5), (312.5, 1062.5), (62.5, 312.5)]...
[BAD_LEADER] Sending 5 robots to EXPLORED cells: [(562.5, 812.5), (1687.5, 1312.5), (1812.5, 1312.5)]...
[BAD_LEADER] Sending 5 robots to EXPLORED cells: [(1312.5, 1312.5), (62.5, 937.5), (1187.5, 1437.5)]...
[BAD_LEADER] Sending 5 robots to EXPLORED cells: [(937.5, 937.5), (1312.5, 1312.5), (1312.5, 1062.5)]...
[BAD_LEADER] Sending 5 robots to EXPLORED cells: [(62.5, 62.5), (1812.5, 1437.5), (187.5, 187.5)]...
[R1] pos=(1497,1278) state=leader leader=1 trust=1.00 susp=0.00 cov=9.9%/51.6%
[BAD_LEADER] Sending 5 robots to EXPLORED cells: [(1437.5, 562.5), (812.5, 1312.5), (1562.5, 437.5)]...
[BAD_LEADER] Sending 5 robots to EXPLORED cells: [(1312.5, 1062.5), (1937.5, 1312.5), (62.5, 62.5)]...
[BAD_LEADER] Sending 5 robots to EXPLORED cells: [(687.5, 562.5), (1437.5, 562.5), (562.5, 687.5)]...
[BAD_LEADER] Sending 5 robots to EXPLORED cells: [(937.5, 937.5), (62.5, 62.5), (1437.5, 437.5)]...
[BAD_LEADER] Sending 5 robots to EXPLORED cells: [(62.5, 437.5), (62.5, 187.5), (687.5, 937.5)]...
[BAD_LEADER] Sending 5 robots to EXPLORED cells: [(1937.5, 812.5), (1562.5, 1187.5), (1937.5, 1187.5)]...
[BAD_LEADER] Sending 5 robots to EXPLORED cells: [(1312.5, 1312.5), (1437.5, 1062.5), (1437.5, 812.5)]...
[BAD_LEADER] Sending 5 robots to EXPLORED cells: [(1562.5, 437.5), (1562.5, 1437.5), (1312.5, 1437.5)]...
[BAD_LEADER] Sending 5 robots to EXPLORED cells: [(1187.5, 1437.5), (562.5, 937.5), (562.5, 1187.5)]...
[BAD_LEADER] Sending 5 robots to EXPLORED cells: [(62.5, 312.5), (1562.5, 312.5), (1562.5, 1437.5)]...
[R1] pos=(1423,1215) state=leader leader=1 trust=1.00 susp=0.00 cov=10.4%/53.6%
[BAD_LEADER] Sending 5 robots to EXPLORED cells: [(937.5, 1187.5), (812.5, 1062.5), (1687.5, 687.5)]...
[BAD_LEADER] Sending 5 robots to EXPLORED cells: [(687.5, 562.5), (812.5, 562.5), (187.5, 937.5)]...
[BAD_LEADER] Sending 5 robots to EXPLORED cells: [(1937.5, 1062.5), (62.5, 312.5), (312.5, 187.5)]...
[BAD_LEADER] Sending 5 robots to EXPLORED cells: [(1312.5, 937.5), (437.5, 1187.5), (187.5, 1062.5)]...
[BAD_LEADER] Sending 5 robots to EXPLORED cells: [(1562.5, 812.5), (1187.5, 1187.5), (437.5, 1187.5)]...
[BAD_LEADER] Sending 5 robots to EXPLORED cells: [(1562.5, 1437.5), (812.5, 687.5), (1437.5, 1062.5)]...
[BAD_LEADER] Sending 5 robots to EXPLORED cells: [(187.5, 62.5), (1187.5, 1437.5), (1562.5, 1062.5)]...
[BAD_LEADER] Sending 5 robots to EXPLORED cells: [(937.5, 937.5), (1562.5, 312.5), (62.5, 687.5)]...
[BAD_LEADER] Sending 5 robots to EXPLORED cells: [(1937.5, 1062.5), (187.5, 1062.5), (1812.5, 1437.5)]...
[BAD_LEADER] Sending 5 robots to EXPLORED cells: [(1687.5, 937.5), (812.5, 937.5), (312.5, 1312.5)]...
[R1] pos=(1346,1140) state=leader leader=1 trust=1.00 susp=0.00 cov=10.9%/56.8%
[BAD_LEADER] Sending 5 robots to EXPLORED cells: [(1687.5, 937.5), (562.5, 1187.5), (62.5, 187.5)]...
[BAD_LEADER] Sending 5 robots to EXPLORED cells: [(1687.5, 1312.5), (62.5, 937.5), (687.5, 937.5)]...
[BAD_LEADER] Sending 5 robots to EXPLORED cells: [(687.5, 562.5), (62.5, 437.5), (1187.5, 1062.5)]...
[BAD_LEADER] Sending 5 robots to EXPLORED cells: [(1312.5, 1187.5), (812.5, 1062.5), (187.5, 562.5)]...
[BAD_LEADER] Sending 5 robots to EXPLORED cells: [(812.5, 1437.5), (1562.5, 937.5), (62.5, 437.5)]...
[BAD_LEADER] Sending 5 robots to EXPLORED cells: [(312.5, 62.5), (437.5, 62.5), (1937.5, 687.5)]...
[BAD_LEADER] Sending 5 robots to EXPLORED cells: [(937.5, 687.5), (937.5, 1187.5), (687.5, 1312.5)]...
[BAD_LEADER] Sending 5 robots to EXPLORED cells: [(1062.5, 1312.5), (437.5, 1062.5), (1687.5, 1187.5)]...
[BAD_LEADER] Sending 5 robots to EXPLORED cells: [(62.5, 687.5), (562.5, 62.5), (1437.5, 937.5)]...
[R1] pos=(1317,1117) state=leader leader=1 trust=1.00 susp=0.00 cov=12.0%/59.9%
[BAD_LEADER] Sending 5 robots to EXPLORED cells: [(562.5, 937.5), (687.5, 1312.5), (437.5, 937.5)]...
[BAD_LEADER] Sending 5 robots to EXPLORED cells: [(1187.5, 1187.5), (62.5, 62.5), (187.5, 437.5)]...
[BAD_LEADER] Sending 5 robots to EXPLORED cells: [(1437.5, 812.5), (812.5, 937.5), (1062.5, 1187.5)]...
