[WARN] Hardware modules not available - simulation mode
=== RAFT Baseline - Robot 2 [SIM] ===
NO TRUST. Heartbeat timeout only.

  Logging to: logs/raft_2_20260226_001741.jsonl
Initializing hardware...
  Hardware: SIMULATED
[INFO] Position socket listening on port 15102
[INFO] Peer socket listening on port 15202
[INFO] Fault socket listening on port 15302
Ready!

Running RAFT baseline... Press Ctrl+C to stop

[R2] state=follower leader=None term=0 cov=0.0%/0.0%
[R2] state=follower leader=5 term=1 cov=0.5%/2.6%
[R2] state=follower leader=5 term=1 cov=1.0%/5.2%
[R2] state=follower leader=5 term=1 cov=1.6%/9.9%
[R2] state=follower leader=5 term=1 cov=2.1%/10.9%
[R2] state=follower leader=5 term=1 cov=2.1%/10.9%
[R2] state=follower leader=5 term=1 cov=2.1%/10.9%
[R2] state=follower leader=5 term=1 cov=2.1%/10.9%
[R2] state=follower leader=5 term=1 cov=2.1%/10.9%
[R2] state=follower leader=5 term=1 cov=2.1%/10.9%
[R2] state=follower leader=5 term=1 cov=2.1%/10.9%
[R2] state=follower leader=5 term=1 cov=2.1%/10.9%
[R2] state=follower leader=5 term=1 cov=2.1%/10.9%
[R2] state=follower leader=5 term=1 cov=2.1%/10.9%
[R2] state=follower leader=5 term=1 cov=2.1%/10.9%
[R2] state=follower leader=5 term=1 cov=2.6%/13.5%
[R2] state=follower leader=5 term=1 cov=2.6%/14.6%
[R2] state=follower leader=5 term=1 cov=2.6%/14.6%
[R2] state=follower leader=5 term=1 cov=2.6%/14.6%
[R2] state=follower leader=5 term=1 cov=2.6%/14.6%
[R2] state=follower leader=5 term=1 cov=2.6%/14.6%
[R2] state=follower leader=5 term=1 cov=2.6%/14.6%
[R2] state=follower leader=5 term=1 cov=2.6%/14.6%
[R2] state=follower leader=5 term=1 cov=2.6%/14.6%
[R2] state=follower leader=5 term=1 cov=2.6%/14.6%
[R2] state=follower leader=5 term=1 cov=2.6%/14.6%
[R2] state=follower leader=5 term=1 cov=2.6%/14.6%
[R2] state=follower leader=5 term=1 cov=2.6%/14.6%
[R2] state=follower leader=5 term=1 cov=2.6%/14.6%
[R2] state=follower leader=5 term=1 cov=2.6%/14.6%
[R2] state=follower leader=5 term=1 cov=2.6%/14.6%
[R2] state=follower leader=5 term=1 cov=2.6%/14.6%
[R2] state=follower leader=5 term=1 cov=2.6%/14.6%
[R2] state=follower leader=5 term=1 cov=2.6%/14.6%
[R2] state=follower leader=5 term=1 cov=2.6%/14.6%
[R2] state=follower leader=5 term=1 cov=2.6%/14.6%
[R2] state=follower leader=5 term=1 cov=2.6%/14.6%
[R2] state=follower leader=5 term=1 cov=2.6%/14.6%
[R2] state=follower leader=5 term=1 cov=2.6%/14.6%
[R2] state=follower leader=5 term=1 cov=2.6%/14.6%
[R2] state=follower leader=5 term=1 cov=2.6%/14.6%
[R2] state=follower leader=5 term=1 cov=2.6%/14.6%
[R2] state=follower leader=5 term=1 cov=2.6%/14.6%
[R2] state=follower leader=5 term=1 cov=2.6%/14.6%
[R2] state=follower leader=5 term=1 cov=2.6%/14.6%
[R2] state=follower leader=5 term=1 cov=2.6%/14.6%
[R2] state=follower leader=5 term=1 cov=2.6%/14.6%
[R2] state=follower leader=5 term=1 cov=2.6%/14.6%
[R2] state=follower leader=5 term=1 cov=2.6%/14.6%
[R2] state=follower leader=5 term=1 cov=2.6%/14.6%
[R2] state=follower leader=5 term=1 cov=2.6%/14.6%
[R2] state=follower leader=5 term=1 cov=2.6%/14.6%
[R2] state=follower leader=5 term=1 cov=2.6%/14.6%
[R2] state=follower leader=5 term=1 cov=2.6%/14.6%
[R2] state=follower leader=5 term=1 cov=2.6%/14.6%
[R2] state=follower leader=5 term=1 cov=2.6%/14.6%
[R2] state=follower leader=5 term=1 cov=2.6%/14.6%
[R2] state=follower leader=5 term=1 cov=2.6%/14.6%
[R2] state=follower leader=5 term=1 cov=2.6%/14.6%
[R2] state=follower leader=5 term=1 cov=2.6%/14.6%
[R2] state=follower leader=5 term=1 cov=3.1%/16.1%
[R2] state=follower leader=5 term=1 cov=3.1%/16.1%
[R2] state=follower leader=5 term=1 cov=3.1%/16.1%
[R2] state=follower leader=5 term=1 cov=3.1%/16.1%
[R2] state=follower leader=5 term=1 cov=3.1%/16.1%
[R2] state=follower leader=5 term=1 cov=3.1%/16.1%
[R2] state=follower leader=5 term=1 cov=3.1%/16.1%
[R2] state=follower leader=5 term=1 cov=3.1%/16.1%
[R2] state=follower leader=5 term=1 cov=3.1%/16.1%
[R2] state=follower leader=5 term=1 cov=3.1%/16.1%
[R2] state=follower leader=5 term=1 cov=3.1%/16.1%
[R2] state=follower leader=5 term=1 cov=3.1%/16.1%
[R2] state=follower leader=5 term=1 cov=3.1%/16.1%
[R2] state=follower leader=5 term=1 cov=3.1%/16.1%
[R2] state=follower leader=5 term=1 cov=3.1%/16.1%
[R2] state=follower leader=5 term=1 cov=3.1%/16.1%
