[WARN] Hardware modules not available - simulation mode
=== RAFT Baseline - Robot 5 [SIM] ===
NO TRUST. Heartbeat timeout only.

  Logging to: logs/raft_5_20260226_163016.jsonl
Initializing hardware...
  Hardware: SIMULATED
[INFO] Position socket listening on port 9105
[INFO] Peer socket listening on port 9205
[INFO] Fault socket listening on port 9305
Ready!

Running RAFT baseline... Press Ctrl+C to stop

[R5] state=follower leader=None term=0 cov=0.0%/0.0%
[R5] state=follower leader=1 term=1 cov=0.5%/2.1%
[R5] state=follower leader=1 term=1 cov=0.5%/2.1%
[R5] state=follower leader=1 term=1 cov=0.5%/2.1%
[R5] state=follower leader=1 term=1 cov=0.5%/2.1%
[R5] state=follower leader=1 term=1 cov=0.5%/2.1%
[R5] state=follower leader=1 term=1 cov=0.5%/2.1%
[R5] state=follower leader=1 term=1 cov=0.5%/2.1%
[R5] state=follower leader=1 term=1 cov=0.5%/2.1%
[R5] state=follower leader=1 term=1 cov=0.5%/2.1%
[R5] state=follower leader=1 term=1 cov=0.5%/2.1%
[R5] state=follower leader=1 term=1 cov=0.5%/2.1%
[R5] state=follower leader=1 term=1 cov=0.5%/2.1%
[R5] state=follower leader=1 term=1 cov=0.5%/2.1%
[R5] state=follower leader=1 term=1 cov=0.5%/2.1%
[R5] state=follower leader=1 term=1 cov=0.5%/2.1%
[R5] state=follower leader=1 term=1 cov=0.5%/2.1%
[R5] state=follower leader=1 term=1 cov=0.5%/2.1%
[R5] state=follower leader=1 term=1 cov=0.5%/2.1%
[R5] state=follower leader=1 term=1 cov=0.5%/2.1%
[R5] state=follower leader=1 term=1 cov=0.5%/2.1%
[R5] state=follower leader=1 term=1 cov=0.5%/2.1%
[R5] state=follower leader=1 term=1 cov=0.5%/2.1%
[R5] state=follower leader=1 term=1 cov=0.5%/2.1%
[R5] state=follower leader=1 term=1 cov=0.5%/2.1%
[R5] state=follower leader=1 term=1 cov=0.5%/2.1%
[R5] state=follower leader=1 term=1 cov=0.5%/2.1%
[R5] state=follower leader=1 term=1 cov=0.5%/2.1%
[R5] state=follower leader=1 term=1 cov=0.5%/2.1%
[R5] state=follower leader=1 term=1 cov=0.5%/2.1%
[R5] state=follower leader=1 term=1 cov=0.5%/2.1%
[R5] state=follower leader=1 term=1 cov=0.5%/2.1%
[R5] state=follower leader=1 term=1 cov=0.5%/2.1%
[R5] state=follower leader=1 term=1 cov=0.5%/2.1%
[R5] state=follower leader=1 term=1 cov=0.5%/2.1%
[R5] state=follower leader=1 term=1 cov=0.5%/2.1%
[R5] state=follower leader=1 term=1 cov=0.5%/2.1%
[R5] state=follower leader=1 term=1 cov=0.5%/2.1%
[R5] state=follower leader=1 term=1 cov=0.5%/2.1%
[R5] state=follower leader=1 term=1 cov=1.0%/2.6%
[R5] state=follower leader=1 term=1 cov=1.0%/4.2%
[R5] state=follower leader=1 term=1 cov=1.0%/4.2%
[R5] state=follower leader=1 term=1 cov=1.0%/4.2%
[R5] state=follower leader=1 term=1 cov=1.0%/4.2%
[R5] state=follower leader=1 term=1 cov=1.0%/4.2%
[R5] state=follower leader=1 term=1 cov=1.0%/4.2%
[R5] state=follower leader=1 term=1 cov=1.0%/4.2%
[R5] state=follower leader=1 term=1 cov=1.0%/4.2%
[R5] state=follower leader=1 term=1 cov=1.0%/4.2%
[R5] state=follower leader=1 term=1 cov=1.0%/4.2%
[R5] state=follower leader=1 term=1 cov=1.0%/4.2%
[R5] state=follower leader=1 term=1 cov=1.0%/4.2%
[R5] state=follower leader=1 term=1 cov=1.0%/4.2%
[R5] state=follower leader=1 term=1 cov=1.0%/4.2%
[R5] state=follower leader=1 term=1 cov=1.0%/4.2%
[R5] state=follower leader=1 term=1 cov=1.0%/4.2%
[R5] state=follower leader=1 term=1 cov=1.6%/6.2%
[R5] state=follower leader=1 term=1 cov=2.1%/7.8%
[R5] state=follower leader=1 term=1 cov=2.1%/7.8%
[R5] state=follower leader=1 term=1 cov=2.1%/7.8%
[R5] state=follower leader=1 term=1 cov=2.1%/7.8%
[R5] state=follower leader=1 term=1 cov=2.1%/7.8%
[R5] state=follower leader=1 term=1 cov=2.1%/7.8%
[R5] state=follower leader=1 term=1 cov=2.1%/7.8%
[R5] state=follower leader=1 term=1 cov=2.1%/7.8%
[R5] state=follower leader=1 term=1 cov=2.1%/7.8%
[R5] state=follower leader=1 term=1 cov=2.1%/7.8%
[R5] state=follower leader=1 term=1 cov=2.1%/7.8%
[R5] state=follower leader=1 term=1 cov=2.1%/7.8%
[R5] state=follower leader=1 term=1 cov=2.1%/7.8%
[R5] state=follower leader=1 term=1 cov=2.1%/7.8%
[R5] state=follower leader=1 term=1 cov=2.1%/7.8%
[R5] state=follower leader=1 term=1 cov=2.1%/7.8%
[R5] state=follower leader=1 term=1 cov=2.1%/7.8%
[R5] state=follower leader=1 term=1 cov=2.1%/7.8%
